"plantID","missing_plant","emergence_date","death_date","resurrection_date","pheno_regress","growth_regress_mm","herbivory_date","frostheave_date","bad_position","other"
"Boise2022_259",NA,96,174,NA,NA,-8,NA,NA,NA,NA
"Boise2022_260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_261",NA,-21,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_262",NA,96,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_263",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_264",NA,-21,NA,NA,-1,NA,NA,NA,NA,NA
"Boise2022_265",NA,-21,96,180,NA,-5,NA,NA,NA,NA
"Boise2022_266",NA,96,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_267",NA,-21,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_268",NA,-21,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_269",NA,96,NA,NA,-1,-11,NA,NA,NA,NA
"Boise2022_270",NA,96,NA,NA,-1,-2,NA,NA,NA,NA
"Boise2022_271",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_272",NA,-21,96,NA,NA,NA,NA,NA,NA,NA
"Boise2022_273",NA,-21,NA,NA,-1,-2,NA,NA,NA,NA
"Boise2022_274",NA,-21,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_275",NA,96,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_276",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_277",NA,96,NA,NA,NA,-7,NA,NA,NA,NA
"Boise2022_278",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_279",NA,-21,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_280",NA,96,115,NA,NA,NA,NA,NA,NA,NA
"Boise2022_281",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_282",NA,-21,131,NA,NA,-5,NA,NA,NA,NA
"Boise2022_283",NA,131,143,180,NA,NA,NA,NA,NA,NA
"Boise2022_284",NA,-21,131,188,NA,-5,NA,NA,NA,NA
"Boise2022_285",NA,-21,157,180,-1,-9,NA,NA,NA,NA
"Boise2022_286",NA,-21,131,180,NA,NA,NA,NA,NA,NA
"Boise2022_287",NA,96,NA,NA,NA,-6,NA,NA,NA,NA
"Boise2022_288",NA,-21,NA,NA,-1,NA,NA,NA,NA,NA
"Boise2022_289",NA,-21,NA,NA,NA,NA,NA,NA,NA,NA
"Boise2022_290",NA,96,131,188,NA,-9,NA,NA,NA,NA
