"plantID","jday","live","v","herbivory","frost_heave","harvested","notes"
"CH_2023_1038",114,"Y","V3+",NA,NA,"N","E"
"CH_2023_1038",129,"Y","V3+",NA,NA,"N","E"
"CH_2023_1038",142,"Y","V3+",NA,NA,"N","E"
"CH_2023_1038",156,"Y","FG",NA,NA,"N","E"
"CH_2023_1038",171,"Y","FG",NA,NA,"N","E"
"CH_2023_1038",187,"Y","FG",NA,NA,"N","E"
"CH_2023_1038",199,NA,NA,NA,NA,"Y","E"
"CH_2023_1039",101,"Y","V2",NA,NA,"N","D"
"CH_2023_1039",114,"Y","V3",NA,NA,"N","D"
"CH_2023_1039",129,"Y","V2",NA,NA,"N","D"
"CH_2023_1039",142,"N",NA,NA,NA,"N","D"
"CH_2023_1039",156,"N",NA,NA,NA,"N","D"
"CH_2023_1039",171,"N",NA,NA,NA,"N","D"
"CH_2023_1039",187,"N",NA,NA,NA,"N","D"
"CH_2023_1039",199,"N",NA,NA,NA,"N","D"
"CH_2023_104",100,"Y","V3+",NA,NA,"N","E"
"CH_2023_104",114,"Y","V3+",NA,NA,"N","E"
"CH_2023_104",129,"Y","V3+",NA,NA,"N","E"
"CH_2023_104",142,"Y","V3+",NA,NA,"N","E"
"CH_2023_104",156,"Y","FG",NA,NA,"N","E"
"CH_2023_104",171,"Y","FG",NA,NA,"N","E"
"CH_2023_104",187,"Y","FG",NA,NA,"N","E"
"CH_2023_104",199,NA,NA,NA,NA,"Y","E"
"CH_2023_1040",101,"N",NA,NA,NA,"N","D"
"CH_2023_1040",114,"Y","V2",NA,NA,"N","D"
"CH_2023_1040",129,"N",NA,NA,NA,"N","D"
"CH_2023_1040",142,"N",NA,NA,NA,"N","D"
"CH_2023_1040",156,"N",NA,NA,NA,"N","D"
"CH_2023_1040",171,"N",NA,NA,NA,"N","D"
"CH_2023_1040",187,"N",NA,NA,NA,"N","D"
"CH_2023_1040",199,"N",NA,NA,NA,"N","D"
"CH_2023_1041",101,"Y","V3",NA,NA,"N","D"
"CH_2023_1041",114,"Y","V2",NA,NA,"N","D"
"CH_2023_1041",129,"Y","V2",NA,NA,"N","D"
"CH_2023_1041",142,"N",NA,NA,NA,"N","D"
"CH_2023_1041",156,"N",NA,NA,NA,"N","D"
"CH_2023_1041",171,"N",NA,NA,NA,"N","D"
"CH_2023_1041",187,"N",NA,NA,NA,"N","D"
"CH_2023_1041",199,"N",NA,NA,NA,"N","D"
"CH_2023_1042",101,"N",NA,NA,NA,"N","D"
"CH_2023_1042",114,"Y","V2",NA,NA,"N","D"
"CH_2023_1042",129,"N",NA,NA,NA,"N","D"
"CH_2023_1042",142,"N",NA,NA,NA,"N","D"
"CH_2023_1042",156,"N",NA,NA,NA,"N","D"
"CH_2023_1042",171,"N",NA,NA,NA,"N","D"
"CH_2023_1042",187,"N",NA,NA,NA,"N","D"
"CH_2023_1042",199,"N",NA,NA,NA,"N","D"
"CH_2023_1043",101,"N",NA,NA,NA,"N","D"
"CH_2023_1043",114,"N",NA,NA,NA,"N","D"
"CH_2023_1043",129,"N",NA,NA,NA,"N","D"
"CH_2023_1043",142,"N",NA,NA,NA,"N","D"
"CH_2023_1043",156,"N",NA,NA,NA,"N","D"
"CH_2023_1043",171,"N",NA,NA,NA,"N","D"
"CH_2023_1043",187,"N",NA,NA,NA,"N","D"
"CH_2023_1043",199,"N",NA,NA,NA,"N","D"
"CH_2023_1044",101,"Y","V3",NA,NA,"N","D"
"CH_2023_1044",114,"Y","V2",NA,NA,"N","D"
"CH_2023_1044",129,"Y","V2",NA,NA,"N","D"
"CH_2023_1044",142,"N",NA,NA,NA,"N","D"
"CH_2023_1044",156,"N",NA,NA,NA,"N","D"
"CH_2023_1044",171,"N",NA,NA,NA,"N","D"
"CH_2023_1044",187,"N",NA,NA,NA,"N","D"
"CH_2023_1044",199,"N",NA,NA,NA,"N","D"
"CH_2023_1045",101,"Y","V3",NA,NA,"N","D"
"CH_2023_1045",114,"Y","V2",NA,NA,"N","D"
"CH_2023_1045",129,"Y","V2",NA,NA,"N","D"
"CH_2023_1045",142,"N",NA,NA,NA,"N","D"
"CH_2023_1045",156,"N",NA,NA,NA,"N","D"
"CH_2023_1045",171,"N",NA,NA,NA,"N","D"
"CH_2023_1045",187,"N",NA,NA,NA,"N","D"
"CH_2023_1045",199,"N",NA,NA,NA,"N","D"
"CH_2023_1046",101,"N",NA,NA,NA,"N","D"
"CH_2023_1046",114,"Y","V2",NA,NA,"N","D"
"CH_2023_1046",129,"Y","V2",NA,NA,"N","D"
"CH_2023_1046",142,"N",NA,NA,NA,"N","D"
"CH_2023_1046",156,"N",NA,NA,NA,"N","D"
"CH_2023_1046",171,"N",NA,NA,NA,"N","D"
"CH_2023_1046",187,"N",NA,NA,NA,"N","D"
