site_code,longitude,latitude,genotype,bioclim1,bioclim2,bioclim3,bioclim4,bioclim5,bioclim6,bioclim7,bioclim8,bioclim9,bioclim10,bioclim11,bioclim12,bioclim13,bioclim14,bioclim15,bioclim16,bioclim17,bioclim18,bioclim19
Lee1,-116.0163889,36.82340833,61,17.650000000000034,12.8,0.3569999933242798,868.8000000000001,36.35000000000002,0.5500000000000114,35.800000000000004,0.5500000000000114,21.850000000000023,28.950000000000045,6.650000000000034,131.9,21.1,2.9000000000000004,43.300000000000004,52.2,17.1,24.6,52.2
Lee2,-115.7845,35.3984,62,16.250000000000057,12.5,0.37300000190734867,795.3000000000001,34.05000000000007,0.5500000000000114,33.5,0.5500000000000114,19.650000000000034,26.650000000000034,6.4500000000000455,233.20000000000002,29,4,41.900000000000006,78.2,23.700000000000003,61.800000000000004,78.2
Lee3,-115.8987,36.5247,63,15.650000000000034,11.9,0.35199999809265137,830.8000000000001,33.75000000000006,-0.049999999999954525,33.800000000000004,-0.049999999999954525,19.55000000000001,26.55000000000001,5.250000000000057,282.8,40.300000000000004,5,46.2,100.60000000000001,29.1,77.30000000000001,100.60000000000001
Lee4,-115.52,35.4564,64,14.850000000000023,11.9,0.3640000104904175,793.2,32.55000000000001,-0.14999999999997726,32.7,-0.14999999999997726,18.350000000000023,25.250000000000057,5.050000000000011,286,39.900000000000006,5.9,44.300000000000004,103.80000000000001,28.700000000000003,85.2,90.4
Leger 1,-119.84,39.49,65,10.950000000000045,12.700000000000001,0.35399999618530276,810.4000000000001,31.450000000000045,-4.349999999999966,35.800000000000004,-4.349999999999966,21.650000000000034,21.650000000000034,1.150000000000034,298.5,49.300000000000004,5.7,62.7,139.4,22.6,22.6,139.4
Maron1,-114.03,46.68,66,8.650000000000034,12.8,0.33499999046325685,856,29.250000000000057,-8.949999999999989,38.2,-8.949999999999989,0.35000000000002274,19.850000000000023,-2.1499999999999773,309.1,41.1,18.8,27.400000000000002,106.4,63.1,83.4,68.7
Maron2,-113.23,46.64,67,5.750000000000057,12.700000000000001,0.3329999923706055,874.6,26.450000000000045,-11.849999999999966,38.300000000000004,-11.849999999999966,-5.249999999999943,17.150000000000034,-5.249999999999943,347.40000000000003,57.2,16.8,43.300000000000004,141.9,53.1,121.5,53.1
Porensky1,-105.18,43.24,68,8.650000000000034,12.5,0.3240000009536743,932.6,31.350000000000023,-7.349999999999966,38.7,-7.349999999999966,-2.6499999999999773,21.350000000000023,-2.6499999999999773,330.20000000000005,62.5,7.7,57.5,151.3,30.6,107.4,30.6
Porensky17,-105.13,43.34,69,8.550000000000011,12.600000000000001,0.3259999990463257,931.2,31.150000000000034,-7.449999999999989,38.6,-7.449999999999989,-2.849999999999966,21.150000000000034,-2.849999999999966,343.70000000000005,64.4,7.4,57.900000000000006,157,30.5,114.80000000000001,30.5
Porensky12,-105.1,43.55,70,7.350000000000023,12.600000000000001,0.325,933.7,30.05000000000001,-8.749999999999943,38.800000000000004,-8.749999999999943,-4.0499999999999545,19.950000000000045,-4.0499999999999545,403.1,74.4,8.5,57.1,182.10000000000002,35.1,135.5,35.1
Porensky30,-105.27,40.63,71,5.9500000000000455,13.4,0.3799999952316284,808.8000000000001,25.850000000000023,-9.449999999999989,35.300000000000004,-9.449999999999989,-4.0499999999999545,16.750000000000057,-4.0499999999999545,501,81.10000000000001,12.3,48.900000000000006,198.5,50.300000000000004,166.8,50.300000000000004
Pyke3,-120.1924183,44.60456358,72,10.150000000000034,12.100000000000001,0.35999999046325687,755.6,29.850000000000023,-3.849999999999966,33.7,-3.849999999999966,20.05000000000001,20.150000000000034,0.8500000000000227,311.5,39.300000000000004,13.100000000000001,30.400000000000002,100.7,43.2,58.1,84.30000000000001
Pyke8,-119.361636,46.74830998,73,12.750000000000057,11.700000000000001,0.3150000095367432,897.7,33.35000000000002,-3.849999999999966,37.2,-3.849999999999966,23.450000000000045,24.250000000000057,1.150000000000034,214.70000000000002,33.800000000000004,4.7,48.300000000000004,91.60000000000001,20,26.700000000000003,79.9
Pyke21,-119.6830115,47.61803776,74,10.050000000000011,10.100000000000001,0.2660000085830689,945.6,30.350000000000023,-7.5499999999999545,37.9,-7.5499999999999545,21.450000000000045,21.950000000000045,-2.349999999999966,257.40000000000003,39.900000000000006,7.6000000000000005,43.400000000000006,103.60000000000001,29.6,40.5,95
Pyke1,-120.1941407,44.60203143,75,10.150000000000034,12.100000000000001,0.35999999046325687,755.6,29.850000000000023,-3.849999999999966,33.7,-3.849999999999966,20.05000000000001,20.150000000000034,0.8500000000000227,311.5,39.300000000000004,13.100000000000001,30.400000000000002,100.7,43.2,58.1,84.30000000000001
Pyke9,-119.3603411,46.74833678,76,12.750000000000057,11.700000000000001,0.3150000095367432,897.7,33.35000000000002,-3.849999999999966,37.2,-3.849999999999966,23.450000000000045,24.250000000000057,1.150000000000034,214.70000000000002,33.800000000000004,4.7,48.300000000000004,91.60000000000001,20,26.700000000000003,79.9
Pyke10,-119.3672737,46.74878715,77,12.750000000000057,11.700000000000001,0.3140000104904175,900.4000000000001,33.450000000000045,-3.849999999999966,37.300000000000004,-3.849999999999966,23.450000000000045,24.350000000000023,1.150000000000034,214.10000000000002,33.7,4.7,48.400000000000006,91.5,20,26.6,79.80000000000001
Pyke12,-119.3673257,46.749974,78,12.650000000000034,11.700000000000001,0.3150000095367432,893.8000000000001,33.25000000000006,-3.849999999999966,37.1,-3.849999999999966,23.350000000000023,24.150000000000034,1.150000000000034,219.3,34.5,4.800000000000001,48.300000000000004,93.60000000000001,20.5,27.3,81.60000000000001
Pyke15,-119.3533784,46.74869655,79,12.650000000000034,11.8,0.31700000762939456,892.7,33.25000000000006,-3.849999999999966,37.1,-3.849999999999966,23.350000000000023,24.150000000000034,1.150000000000034,215.70000000000002,33.9,4.7,48.300000000000004,91.9,20.1,26.8,80.2
Pyke16,-119.3482241,46.74939669,80,12.650000000000034,11.700000000000001,0.31600000858306887,889.6,33.25000000000006,-3.849999999999966,37.1,-3.849999999999966,23.250000000000057,24.05000000000001,1.150000000000034,217.10000000000002,34.1,4.7,48.300000000000004,92.5,20.1,26.900000000000002,80.7
Pyke17,-119.3504083,46.74994569,81,12.550000000000011,11.700000000000001,0.31800000667572026,887.1,33.05000000000001,-3.849999999999966,36.9,-3.849999999999966,23.150000000000034,23.950000000000045,1.150000000000034,220.9,34.7,4.800000000000001,48.2,94.10000000000001,20.6,27.400000000000002,82
Pyke19,-119.3487202,46.75087139,82,12.450000000000045,11.700000000000001,0.3190000057220459,884,32.950000000000045,-3.849999999999966,36.800000000000004,-3.849999999999966,23.05000000000001,23.850000000000023,1.0500000000000114,222.4,34.9,4.800000000000001,48.2,94.7,20.700000000000003,27.5,82.5
