"plantID","site","year","block","plot","x","y","genotype","growout","density","gravel"
"CH_2023_45","CH",2023,1,1,5,6,73,2020,"high","black"
"CH_2023_53","CH",2023,1,1,5,7,43,2020,"high","black"
"CH_2023_61","CH",2023,1,1,5,8,59,2020,"high","black"
"CH_2023_69","CH",2023,1,1,5,9,55,2020,"high","black"
"CH_2023_6","CH",2023,1,1,6,1,6,2020,"high","black"
"CH_2023_78","CH",2023,1,1,6,10,104,2020,"high","black"
"CH_2023_14","CH",2023,1,1,6,2,34,2020,"high","black"
"CH_2023_22","CH",2023,1,1,6,3,101,2020,"high","black"
"CH_2023_30","CH",2023,1,1,6,4,96,2020,"high","black"
"CH_2023_38","CH",2023,1,1,6,5,75,2020,"high","black"
"CH_2023_46","CH",2023,1,1,6,6,30,2020,"high","black"
"CH_2023_54","CH",2023,1,1,6,7,46,2020,"high","black"
"CH_2023_62","CH",2023,1,1,6,8,76,2020,"high","black"
"CH_2023_70","CH",2023,1,1,6,9,39,2020,"high","black"
"CH_2023_7","CH",2023,1,1,7,1,24,2020,"high","black"
"CH_2023_79","CH",2023,1,1,7,10,79,2020,"high","black"
"CH_2023_15","CH",2023,1,1,7,2,98,2021,"high","black"
"CH_2023_23","CH",2023,1,1,7,3,90,2020,"high","black"
"CH_2023_31","CH",2023,1,1,7,4,81,2020,"high","black"
"CH_2023_39","CH",2023,1,1,7,5,77,2020,"high","black"
"CH_2023_47","CH",2023,1,1,7,6,49,2020,"high","black"
"CH_2023_55","CH",2023,1,1,7,7,58,2020,"high","black"
"CH_2023_63","CH",2023,1,1,7,8,7,2020,"high","black"
"CH_2023_71","CH",2023,1,1,7,9,62,2020,"high","black"
"CH_2023_8","CH",2023,1,1,8,1,33,2020,"high","black"
"CH_2023_80","CH",2023,1,1,8,10,89,2020,"high","black"
"CH_2023_16","CH",2023,1,1,8,2,45,2020,"high","black"
"CH_2023_24","CH",2023,1,1,8,3,56,2020,"high","black"
"CH_2023_32","CH",2023,1,1,8,4,18,2022,"high","black"
"CH_2023_40","CH",2023,1,1,8,5,8,2020,"high","black"
"CH_2023_48","CH",2023,1,1,8,6,65,2020,"high","black"
"CH_2023_56","CH",2023,1,1,8,7,69,2020,"high","black"
"CH_2023_64","CH",2023,1,1,8,8,83,2020,"high","black"
"CH_2023_72","CH",2023,1,1,8,9,88,2021,"high","black"
"CH_2023_161","CH",2023,1,3,1,1,1,2020,"high","white"
"CH_2023_233","CH",2023,1,3,1,10,79,2020,"high","white"
"CH_2023_169","CH",2023,1,3,1,2,36,2020,"high","white"
"CH_2023_177","CH",2023,1,3,1,3,151,2022,"high","white"
"CH_2023_185","CH",2023,1,3,1,4,37,2020,"high","white"
"CH_2023_193","CH",2023,1,3,1,5,47,2020,"high","white"
"CH_2023_201","CH",2023,1,3,1,6,71,2020,"high","white"
"CH_2023_209","CH",2023,1,3,1,7,77,2020,"high","white"
"CH_2023_217","CH",2023,1,3,1,8,42,2021,"high","white"
"CH_2023_225","CH",2023,1,3,1,9,11,2020,"high","white"
"CH_2023_162","CH",2023,1,3,2,1,7,2020,"high","white"
"CH_2023_234","CH",2023,1,3,2,10,38,2021,"high","white"
"CH_2023_170","CH",2023,1,3,2,2,75,2020,"high","white"
"CH_2023_178","CH",2023,1,3,2,3,65,2020,"high","white"
"CH_2023_186","CH",2023,1,3,2,4,83,2020,"high","white"
"CH_2023_194","CH",2023,1,3,2,5,63,2020,"high","white"
"CH_2023_202","CH",2023,1,3,2,6,76,2020,"high","white"
"CH_2023_210","CH",2023,1,3,2,7,52,2020,"high","white"
"CH_2023_218","CH",2023,1,3,2,8,31,2020,"high","white"
"CH_2023_226","CH",2023,1,3,2,9,5,2020,"high","white"
"CH_2023_163","CH",2023,1,3,3,1,74,2020,"high","white"
"CH_2023_235","CH",2023,1,3,3,10,58,2020,"high","white"
"CH_2023_171","CH",2023,1,3,3,2,6,2020,"high","white"
"CH_2023_179","CH",2023,1,3,3,3,62,2020,"high","white"
"CH_2023_187","CH",2023,1,3,3,4,92,2020,"high","white"
"CH_2023_195","CH",2023,1,3,3,5,88,2020,"high","white"
"CH_2023_203","CH",2023,1,3,3,6,96,2020,"high","white"
"CH_2023_211","CH",2023,1,3,3,7,98,2021,"high","white"
"CH_2023_219","CH",2023,1,3,3,8,29,2020,"high","white"
"CH_2023_227","CH",2023,1,3,3,9,53,2020,"high","white"
"CH_2023_164","CH",2023,1,3,4,1,68,2020,"high","white"
"CH_2023_236","CH",2023,1,3,4,10,86,2020,"high","white"
"CH_2023_172","CH",2023,1,3,4,2,90,2020,"high","white"
"CH_2023_180","CH",2023,1,3,4,3,18,2020,"high","white"
"CH_2023_188","CH",2023,1,3,4,4,54,2020,"high","white"
"CH_2023_196","CH",2023,1,3,4,5,64,2020,"high","white"
"CH_2023_204","CH",2023,1,3,4,6,87,2020,"high","white"
"CH_2023_212","CH",2023,1,3,4,7,89,2020,"high","white"
"CH_2023_220","CH",2023,1,3,4,8,73,2020,"high","white"
"CH_2023_228","CH",2023,1,3,4,9,100,2020,"high","white"
"CH_2023_165","CH",2023,1,3,5,1,26,2020,"high","white"
"CH_2023_237","CH",2023,1,3,5,10,57,2020,"high","white"
"CH_2023_173","CH",2023,1,3,5,2,59,2020,"high","white"
